ID,name,team,position,college_name,college_conference,fantasy_points
00-0037207,Mike Caliendo,KC,G,Western Michigan,Mid-American Conference,0.0
00-0037216,Justyn Ross,KC,WR,Clemson,Atlantic Coast Conference,5.0
00-0037228,Jaylen Warren,PIT,RB,Oklahoma State,Big Twelve Conference,294.0
00-0037231,Kevin Austin,NO,WR,Notre Dame,Independent,16.0
00-0037238,Drake London,ATL,WR,Southern California,Pacific Twelve Conference,392.0
00-0037239,Chris Olave,NO,WR,Ohio State,Big Ten Conference,315.0
00-0037240,Jameson Williams,DET,WR,Alabama,Southeastern Conference,260.0
00-0037243,Tyler Smith,DAL,G,Tulsa,American Athletic Conference,0.0
00-0037247,George Pickens,PIT,WR,Georgia,Southeastern Conference,384.0
00-0037248,James Cook,BUF,RB,Georgia,Southeastern Conference,587.0
00-0037252,Greg Dulcich,DEN,TE,UCLA,Pacific Twelve Conference,58.0
00-0037253,Marcus Jones,NE,CB,Houston,American Athletic Conference,22.0
00-0037256,Rachaad White,TB,RB,Arizona State,Pacific Twelve Conference,475.0
00-0037257,David Bell,CLE,WR,Purdue,Big Ten Conference,64.0
00-0037258,Dameon Pierce,HOU,RB,Florida,Southeastern Conference,250.0
00-0037261,Khalil Shakir,BUF,WR,Boise State,Mountain West Conference,250.0
00-0037263,Tyler Allgeier,ATL,RB,Brigham Young,Independent,356.0
00-0037267,Jerome Ford,CLE,RB,Cincinnati,American Athletic Conference,270.0
00-0037276,Ty Chandler,MIN,RB,North Carolina,Atlantic Coast Conference,104.0
00-0037284,Matt Araiza,KC,P,San Diego State,Mountain West Conference,-1.0
00-0037287,Vederian Lowe,NE,T,Illinois,Big Ten Conference,6.0
00-0037291,Jalen Nailor,MIN,WR,Michigan State,Big Ten Conference,107.0
00-0037292,Andrew Ogletree,IND,TE,Youngstown State,Missouri Valley Football Conference,43.0
00-0037300,Mike Woods,CLE,WR,Oklahoma,Big Twelve Conference,10.0
00-0037304,Connor Heyward,PIT,TE,Michigan State,Big Ten Conference,51.0
00-0037306,John FitzPatrick,GB,TE,Georgia,Southeastern Conference,1.0
00-0037324,Chris Oladokun,KC,QB,South Dakota State,Missouri Valley Football Conference,0.0
00-0037327,Skylar Thompson,MIA,QB,Kansas State,Big Twelve Conference,36.0
00-0037348,Tanner Conner,MIA,WR,Idaho State,Big Sky Conference,1.0
00-0037382,Brandon Johnson,PIT,WR,Central Florida,American Athletic Conference,65.0
00-0037422,Kendric Pryor,CIN,WR,Wisconsin,Big Ten Conference,0.0
00-0037429,Raheem Blackshear,CAR,RB,Virginia Tech,Atlantic Coast Conference,54.0
00-0037450,Tyreik McAllister,LV,RB,"Charleston, W. Va.",Mountain East Conference,1.0
00-0037475,Stone Smartt,LAC,TE,Old Dominion,Sun Belt Conference,42.0
00-0037487,Deven Thompkins,CAR,WR,Utah State,Mountain West Conference,27.0
00-0037491,J.J. Russell,TB,ILB,Memphis,American Athletic Conference,6.0
00-0037509,Sincere McCormick,LV,RB,Texas-San Antonio,Conference USA,21.0
00-0037524,Tay Martin,TEN,WR,Oklahoma State,Big Twelve Conference,10.0
00-0037525,Jordan Mason,SF,RB,Georgia Tech,Atlantic Coast Conference,178.0
00-0037539,Lucas Krull,DEN,TE,Pittsburgh,Atlantic Coast Conference,30.0
00-0037545,Rashid Shaheed,NO,WR,Weber State,Big Sky Conference,245.0
00-0037557,Ronnie Rivers,LA,RB,Fresno State,Mountain West Conference,38.0
00-0037569,Peyton Hendershot,KC,TE,Indiana,Big Ten Conference,37.0
00-0037578,Juanyeh Thomas,DAL,FS,Georgia Tech,Atlantic Coast Conference,6.0
00-0037594,Julius Chestnut,TEN,RB,Sacred Heart,Northeast Conference,16.0
00-0037609,Aaron Shampklin,PIT,RB,Harvard,Ivy League,1.0
00-0037614,John Metchie,HOU,WR,Alabama,Southeastern Conference,57.0
00-0037617,Hassan Haskins,LAC,RB,Michigan,Big Ten Conference,45.0
00-0037654,Tucker Fisk,LAC,TE,Stanford,Pacific Twelve Conference,6.0
00-0037664,Alec Pierce,IND,WR,Cincinnati,American Athletic Conference,259.0
00-0037666,Jalen Tolbert,DAL,WR,South Alabama,Sun Belt Conference,143.0
00-0037740,Garrett Wilson,NYJ,WR,Ohio State,Big Ten Conference,401.0
